estilo_link,nome,estilo_texto,qnt,Field4,Page_URL,Page_Title,Current_Time
Rock'n Roll,"Isis
			","
			Rock'n Roll 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/isis,Isis - cifras e tablaturas | CIFRAS,2021-07-26 15:59:01.142
Rock'n Roll,"Isis
			",,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/isis-bez-birolo,Isis Bez Birolo - cifras e tablaturas | CIFRAS,2021-07-26 15:59:02.619
Não Informada,"Diane Schuur4
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/diane-schuur4,Diane Schuur4 - cifras e tablaturas | CIFRAS,2021-07-26 15:59:04.070
Diversos,"Kiwe
			","
			Diversos 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/kiwe,Kiwe - cifras e tablaturas | CIFRAS,2021-07-26 15:59:06.419
Não Informada,"Isma Sane
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/isma-sane,Isma Sane - cifras e tablaturas | CIFRAS,2021-07-26 15:59:06.025
,,,,,https://www.cifras.com.br/companhia-do-calypso,https://www.cifras.com.br/companhia-do-calypso,2021-07-26 15:59:06.769
Não Informada,"Diante do Altar
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/diante-do-altar,Diante do Altar - cifras e tablaturas | CIFRAS,2021-07-26 15:59:06.183
Não Informada,"Isma Sane
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",,https://www.cifras.com.br/ismael-nunes,Ismael Nunes - cifras e tablaturas | CIFRAS,2021-07-26 15:59:06.589
Gospel,"Ismael Nunes
			","
			Gospel 
			
			
				4 músicas
			
			","
				4 músicas
			",,https://www.cifras.com.br/deportivo,Deportivo - cifras e tablaturas | CIFRAS,2021-07-26 15:59:07.191
Não Informada,"Andrew Duhon
			","
			Não Informada 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/andrew-duhon,Andrew Duhon - cifras e tablaturas | CIFRAS,2021-07-26 15:59:09.465
Não Informada,"Diana Salvatore
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/diana-salvatore,Diana Salvatore - cifras e tablaturas | CIFRAS,2021-07-26 15:59:08.916
Gospel,"Derek Bond
			","
			Gospel 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/derek-bond,Derek Bond - cifras e tablaturas | CIFRAS,2021-07-26 15:59:09.694
,,"
			Gospel 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/comunhao-plena,Comunhão Plena - cifras e tablaturas | CIFRAS,2021-07-26 15:59:09.759
Não Informada,"Kimberly
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/kimberly,Kimberly - cifras e tablaturas | CIFRAS,2021-07-26 15:59:12.727
Gospel,"Nívea Costa
			","
			Gospel 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nivea-costa,Nívea Costa - cifras e tablaturas | CIFRAS,2021-07-26 15:59:13.588
Não Informada,"Kimberly
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/kimberly,Kimberly - cifras e tablaturas | CIFRAS,2021-07-26 15:59:12.458
Punk Rock,"Kimi Monogatari
			","
			Punk Rock 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/kimi-monogatari,Kimi Monogatari - cifras e tablaturas | CIFRAS,2021-07-26 15:59:14.905
Punk Rock,"Kimi Monogatari
			","
			Punk Rock 
			
			
				1 músicas
			
			",,,https://www.cifras.com.br/kind-of-like-spitting,Kind Of Like Spitting - cifras e tablaturas | CIFRAS,2021-07-26 15:59:15.535
,"Kind Of Like Spitting
			","
			Rock Alternativo 
			
			
				3 músicas
			
			","
				3 músicas
			",,https://www.cifras.com.br/francilio-silva,Francilio Silva - cifras e tablaturas | CIFRAS,2021-07-26 15:59:16.428
Não Informada,"Nízios
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nizios,Nízios - cifras e tablaturas | CIFRAS,2021-07-26 15:59:17.453
Pop Music,"Francis Magalona
			","
			Pop Music 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/francis-magalona,Francis Magalona - cifras e tablaturas | CIFRAS,2021-07-26 15:59:19.542
Gospel,"Andreia Magalhães
			","
			Gospel 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/andreia-magalhaes,Andreia Magalhães - cifras e tablaturas | CIFRAS,2021-07-26 15:59:21.212
Blues,"Huddy Ledbetter
			","
			Blues 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/huddy-ledbetter,Huddy Ledbetter - cifras e tablaturas | CIFRAS,2021-07-26 15:59:21.948
Eletrônica,"No Mercy
			","
			Eletrônica 
			
			
				1 músicas
			
			","
				1 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/24/2395,163798.jpg",https://www.cifras.com.br/no-mercy,No Mercy - cifras e tablaturas | CIFRAS,2021-07-26 15:59:22.190
Blues,"Huddy Ledbetter
			","
			Blues 
			
			
				1 músicas
			
			",,,https://www.cifras.com.br/andrea-fontes,Andrea Fontes - cifras e tablaturas | CIFRAS,2021-07-26 15:59:22.548
,,,,,https://www.cifras.com.br/dora-morelenbaum,https://www.cifras.com.br/dora-morelenbaum,2021-07-26 15:59:24.419
Pop Music,"Hudson Taylor
			","
			Pop Music 
			
			
				29 músicas
			
			","
				29 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/hudson-taylor,Hudson Taylor - cifras e tablaturas | CIFRAS,2021-07-26 15:59:24.971
Gospel,"Andréia Zanardi
			","
			Gospel 
			
			
				12 músicas
			
			","
				12 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/andreia-zanardi,Andréia Zanardi - cifras e tablaturas | CIFRAS,2021-07-26 15:59:25.149
Latinas,"Andrés
			","
			Latinas 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/andres,Andrés - cifras e tablaturas | CIFRAS,2021-07-26 15:59:26.246
Latinas,"Andrés
			","
			Latinas 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/andres,Andrés - cifras e tablaturas | CIFRAS,2021-07-26 15:59:26.622
Pop Music,"Hudson Taylor
			","
			Pop Music 
			
			
				29 músicas
			
			","
				29 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/hudson-taylor,Hudson Taylor - cifras e tablaturas | CIFRAS,2021-07-26 15:59:25.400
Não Informada,"Anse Rigby
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/anse-rigby,Anse Rigby - cifras e tablaturas | CIFRAS,2021-07-26 15:59:27.719
Não Informada,"Nô Stopa
			","
			Não Informada 
			
			
				5 músicas
			
			","
				5 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/442/44160,109638.jpg",https://www.cifras.com.br/no-stopa,Nô Stopa - cifras e tablaturas | CIFRAS,2021-07-26 15:59:26.795
,,,,,https://www.cifras.com.br/ninno-miranda,Ninno Miranda - cifras e tablaturas | CIFRAS,2021-07-26 15:59:27.116
Rock Clássico,"Nigel Olsson
			","
			Rock Clássico 
			
			
				1 músicas
			
			","
				1 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/24/2389,104429.jpg",https://www.cifras.com.br/nigel-olsson,Nigel Olsson - cifras e tablaturas | CIFRAS,2021-07-26 15:59:27.142
,,,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/hugo-e-danielle,Hugo e Danielle - cifras e tablaturas | CIFRAS,2021-07-26 15:59:27.985
,,"
			Gospel 
			
			
				18 músicas
			
			","
				18 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/162/16178,94537.jpg",https://www.cifras.com.br/roberto-menescal,Roberto Menescal - cifras e tablaturas | CIFRAS,2021-07-26 15:59:29.773
Não Informada,"Lorena e Rayane
			","
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lorena-e-rayane,Lorena e Rayane - cifras e tablaturas | CIFRAS,2021-07-26 15:59:28.872
Pop Music,"Nik Freitas
			","
			Pop Music 
			
			
				8 músicas
			
			","
				8 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nik-freitas,Nik Freitas - cifras e tablaturas | CIFRAS,2021-07-26 15:59:30.117
Sertanejo,"Hygor e Guilherme
			","
			Sertanejo 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/hygor-e-guilherme,Hygor e Guilherme - cifras e tablaturas | CIFRAS,2021-07-26 15:59:31.561
Sertanejo,"Hygor e Guilherme
			","
			Sertanejo 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/hygor-e-guilherme,Hygor e Guilherme - cifras e tablaturas | CIFRAS,2021-07-26 15:59:31.094
Samba e Pagode,"No Styllo
			","
			Samba e Pagode 
			
			
				5 músicas
			
			","
				5 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/755/75402,202782.jpg",https://www.cifras.com.br/no-styllo,No Styllo - cifras e tablaturas | CIFRAS,2021-07-26 15:59:30.945
Bossa Nova,"Roberto Menescal e Ronaldo Bôscoli
			","
			Bossa Nova 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/roberto-menescal-e-ronaldo-boscoli,Roberto Menescal e Ronaldo Bôscoli - cifras e tablaturas | CIFRAS,2021-07-26 15:59:33.161
Diversos,"Os Cafa
			","
			Diversos 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/os-cafa,Os Cafa - cifras e tablaturas | CIFRAS,2021-07-26 15:59:32.929
Diversos,"Os Cafa
			","
			Diversos 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/os-cafa,Os Cafa - cifras e tablaturas | CIFRAS,2021-07-26 15:59:33.288
Bossa Nova,"Roberto Menescal e Ronaldo Bôscoli
			","
			Bossa Nova 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/roberto-menescal-e-ronaldo-boscoli,Roberto Menescal e Ronaldo Bôscoli - cifras e tablaturas | CIFRAS,2021-07-26 15:59:33.881
Gospel,"Os Ovelhas
			","
			Gospel 
			
			
				2 músicas
			
			","
				2 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/os-ovelhas,Os Ovelhas - cifras e tablaturas | CIFRAS,2021-07-26 15:59:35.531
Diversos,,,,,https://www.cifras.com.br/diarere,Diarerê - cifras e tablaturas | CIFRAS,2021-07-26 15:59:34.267
,,"
			Não Informada 
			
			
				1 músicas
			
			","
				1 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/robin-packalen,Robin Packalen - cifras e tablaturas | CIFRAS,2021-07-26 15:59:37.833
Rock Alternativo,"Dias de Truta
			","
			Rock Alternativo 
			
			
				35 músicas
			
			","
				35 músicas
			","https://www.letras.com.br/arquivos/fotos/artistas/thumb1/331/33018,44472.jpg",https://www.cifras.com.br/dias-de-truta,Dias de Truta - cifras e tablaturas | CIFRAS,2021-07-26 15:59:36.343
Pop Music,"Roberto Murolo
			","
			Pop Music 
			
			
				6 músicas
			
			","
				6 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/roberto-murolo,Roberto Murolo - cifras e tablaturas | CIFRAS,2021-07-26 15:59:37.168
Não Informada,"Robin Schulz
			","
			Não Informada 
			
			
				13 músicas
			
			","
				13 músicas
			",https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/robin-schulz,Robin Schulz - cifras e tablaturas | CIFRAS,2021-07-26 15:59:41.437
Sertanejo,"Diego e Victor Hugo
			","
			Sertanejo 
			
			
				44 músicas
			
			","
				44 músicas
			",https://www.cifras.com.br/arquivos/artistas/diego-e-victor-hugo.jpg,https://www.cifras.com.br/diego-e-victor-hugo,Diego e Victor Hugo - cifras e tablaturas | CIFRAS,2021-07-26 15:59:41.126
