artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Dave East,Não Informada,,,https://www.cifras.com.br/dave-grohl,desconhecido
D4L,Diversos,1,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/342/34185,201542.jpg",https://www.cifras.com.br/d4l,USA
Edu Sereno,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-sereno,Brasil
Caio Mendes,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-mendes,Brasil
Eddie Morton,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eddie-morton,desconhecido
,Não Informada,,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/133/13296,216000.jpg",https://www.cifras.com.br/dead-can-dance,USA
Nacho,,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nacho,desconhecido
,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/d-generation,USA
,,,,https://www.cifras.com.br/eddy-kim,desconhecido
,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/kabaka-pyramid,desconhecido
D Karvalho,Reggae,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/d-karvalho,Brasil
Geo,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/geo,desconhecido
Abrupto Grande,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/abrupto-grande,desconhecido
Nathan Angelo,Não Informada,6,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathan-angelo,desconhecido
Nathan Carter,Country,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathan-carter,Inglaterra
Davison e Robson,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/davison-e-robson,Brasil
Abrupto Grande,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/abrupto-grande,desconhecido
Caio Victor,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-victor,Brasil
Caio Victor,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-victor,Brasil
,,,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/198/19712,19535.jpg",https://www.cifras.com.br/george-israel,Brasil
Nathan Carter,Country,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathan-carter,Inglaterra
Edu e Mayra,Espíritas,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-e-mayra,Brasil
,,,,https://www.cifras.com.br/geovane-santana,Brasil
Nathan Carter,Country,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathan-carter,Inglaterra
Nathan Carter,Country,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathan-carter,Inglaterra
Edu e Mayra,Espíritas,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-e-mayra,Brasil
Edu e Mayra,Espíritas,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-e-mayra,Brasil
Cagério de Souza,Infantis,25,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/cagerio-de-souza,Brasil
B*Witched,,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/35/3463,144299.jpg",https://www.cifras.com.br/b*witched,USA
,,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/did,desconhecido
Eden Ministry,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eden-ministry,Brasil
Faell Mota,MPB,6,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/faell-mota,Brasil
,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pagode-da-tia-doca,Brasil
Haikaiss,Não Informada,9,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/941/94048,226184.jpg",https://www.cifras.com.br/haikaiss,Brasil
Jader e Chelly Medeiros,Gospel,,,https://www.cifras.com.br/jadiel-barbosa,Brasil
Jader e Chelly Medeiros,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jader-e-chelly-medeiros,Brasil
Painted Zeros,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/painted-zeros,desconhecido
Haikaiss,Não Informada,9,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/941/94048,226184.jpg",https://www.cifras.com.br/abstract-shadows,desconhecido
Eden Ministry,Gospel,,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/126/12573,71061.jpg",https://www.cifras.com.br/edenbridge,USA
Lado de Cá,Não Informada,5,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lado-de-ca,Brasil
Doa,Rock'n Roll,1,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/89/8807,209257.jpg",https://www.cifras.com.br/doa,desconhecido
Adelaide Ferreira,Romântica,3,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/187/18662,68542.jpg",https://www.cifras.com.br/adelaide-ferreira,Portugal
,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/o-cantico,Brasil
Ddisselblom,Não Informada,4,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ddisselblom,desconhecido
Palavrantiga,,25,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/754/75384,201609.jpg",https://www.cifras.com.br/palavrantiga,Brasil
Feli Mirez,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/feli-mirez,desconhecido
Gael Garcia Bernal,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gael-garcia-bernal,desconhecido
,,,,https://www.cifras.com.br/nagabuchi-tsuyoshi,Japão
Egg boy,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/egg-boy,desconhecido
Abutres,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/abutres,Brasil
,,,,https://www.cifras.com.br/dawes,USA
Abutres,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/haircut-100,desconhecido
,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fernanda-fernandes-costa,Brasil
La Solución,Pop Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/la-solucion,México
,,25,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/375/37494,154218.jpg",https://www.cifras.com.br/fernandes-lima,Brasil
Palehound,,7,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/palehound,desconhecido
D12,Rap/Hip Hop,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/133/13236,49220.jpg",https://www.cifras.com.br/d12,USA
D12,Rap/Hip Hop,2,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/133/13236,49220.jpg",https://www.cifras.com.br/d12,USA
La Solución,Pop Music,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/la-solucion,México
Eder Carvalho,Não Informada,7,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eder-carvalho,desconhecido
Garras de Amor,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/garras-de-amor,Brasil
,,,,https://www.cifras.com.br/b2k,USA
Eder Carvalho,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/eder-e-enrique,Brasil
De Jeremias,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/de-jeremias,Colombia
Fernando,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fernando,Brasil
Palomares Gabino,,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/palomares-gabino,Brasil
Dayane Cassia,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dayane-cassia,Brasil
,,,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-verbo,Brasil
Edu Quintana,Não Informada,14,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-quintana,Brasil
Dayane Cassia,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dayane-cassia,Brasil
Jae Jin,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jae-jin,desconhecido
,,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fanor-sekwe,desconhecido
Adorável És,Gospel,7,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adoravel-es,Brasil
Edu Quintana,Não Informada,14,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edu-quintana,Brasil
,,,,https://www.cifras.com.br/garrickson,desconhecido
Fanzine,MPB,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fanzine,Brasil
D'Angelo,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dangelo,desconhecido
Hardneja Sertacore,Diversos,5,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/753/75290,58755.png",https://www.cifras.com.br/hardneja-sertacore,Brasil
Fanzine,MPB,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/fanzine,Brasil
Pamela Lorrany,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamela-lorrany,Brasil
Daylight,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daylight,desconhecido
J'Martin,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jmartin,desconhecido
Happy End,Country,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/happy-end,Japão
Daylight,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/daylight,desconhecido
J'Martin,Não Informada,3,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jmartin,desconhecido
Caio Albuka,Não Informada,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caio-albuka,Brasil
Naielly Leite,Gospel,8,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naielly-leite,Brasil
Pamela Lorrany,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamela-lorrany,Brasil
Jaffet Ornellas,MPB,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaffet-ornellas,Brasil
Pamela Lorrany,Gospel,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/pamela-lorrany,Brasil
Naielly Leite,Gospel,8,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/naielly-leite,Brasil
Banda Inside,MPB,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/banda-inside,Brasil
Caio Albuka,Não Informada,2,,https://www.cifras.com.br/gene-loves-jezebel,desconhecido
Dead Stars,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dead-stars,desconhecido
B.E.R,Diversos,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ber,USA
Happyland,,2,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/happyland,Austrália
Caballero Gaucho,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caballero-gaucho,desconhecido
Panceta y los Papafritas,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/panceta-y-los-papafritas,desconhecido
Edson de Souza,Católicas,7,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edson-de-souza,Brasil
Edson de Souza,Católicas,7,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/edson-de-souza,Brasil
Caballero Gaucho,Não Informada,1,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/caballero-gaucho,desconhecido
