artista,estilo_musical,qnt_musicas,thumbnail,link_cifras,pais
Geovanio Tomaz,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/geovanio-tomaz,Brasil
Geovanio Tomaz,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/geovanio-tomaz,Brasil
Deborah Blando,Pop Music,16.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/deborah-blando,Brasil
Geovanio Tomaz,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/geovanio-tomaz,Brasil
Deborah Blando,Pop Music,16.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/deborah-blando,Brasil
Gera Fornasa & Bandalheia,Não Informada,6.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/gera-fornasa-bandalheia,Brasil
Dede de Jesus,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/dede-de-jesus,Brasil
Jaime Reis,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaime-reis,Brasil
Jaime Teodoro,Gospel,6.0,"https://www.letras.com.br/arquivos/fotos/artistas/thumb1/881/88067,200834.jpg",https://www.cifras.com.br/jaime-teodoro,Brasil
Adil Monteiro,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adil-monteiro,Brasil
Jaime Villalba,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/jaime-villalba,Brasil
Ladston do Nascimento,Diversos,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/ladston-do-nascimento,Brasil
Lale Correia,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lale-correia,Brasil
O Muro de Pedra,Não Informada,8.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/o-muro-de-pedra,Brasil
Lale Correia,Não Informada,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lale-correia,Brasil
Laércio e Wellington,MPB,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/laercio-e-wellington,Brasil
Lafusa,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lafusa,Brasil
Adrian Freedman,Diversos,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/adrian-freedman,Brasil
Harpa de Sião,Não Informada,3.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/harpa-de-siao,Brasil
Panaceia,Diversos,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/panaceia,Brasil
Panaceia,Diversos,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/panaceia,Brasil
Nathália Roynaldo,Gospel,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nathalia-roynaldo,Brasil
Natasha Nappo,Não Informada,7.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/natasha-nappo,Brasil
Laís Bossini,Gospel,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lais-bossini,Brasil
Laís Bossini,Gospel,2.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/lais-bossini,Brasil
Bandeira Brasil,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bandeira-brasil,Brasil
Bandeira Brasil,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/bandeira-brasil,Brasil
Natê,Não Informada,1.0,https://www.cifras.com.br/images/artist_no_photo.png,https://www.cifras.com.br/nate,Brasil
