"Title","Website","Time"
"Dalvimar e Marcos Pavan","https://www.cifras.com.br/dalvimar-e-marcos-pavan","https://www.e-chords.com/t/f10.gif"
"A Cor do Sol","https://www.cifras.com.br/a-cor-do-sol","https://www.e-chords.com/t/f1.gif"
"Bad Company","https://www.cifras.com.br/bad-company","https://www.e-chords.com/t/f2.gif"
"Badier","https://www.cifras.com.br/badier","https://www.e-chords.com/t/f1.gif"
"Badly Drawn Boy","https://www.cifras.com.br/badly-drawn-boy","https://www.e-chords.com/t/f2.gif"
"Daithimous","https://www.cifras.com.br/daithimous","https://www.e-chords.com/t/f1.gif"
"Dakmie","https://www.cifras.com.br/dakmie","https://www.e-chords.com/t/f25.gif"
"Dalmir Filho","https://www.cifras.com.br/dalmir-filho","https://www.e-chords.com/t/f1.gif"
"Backbeat Soundsystem","https://www.cifras.com.br/backbeat-soundsystem","https://www.e-chords.com/t/f68.gif"
"Bad Bunny","https://www.cifras.com.br/bad-bunny","https://www.e-chords.com/t/f68.gif"
"Bad Lieutenant","https://www.cifras.com.br/bad-lieutenant","https://www.e-chords.com/t/f68.gif"
"Bad Omen","https://www.cifras.com.br/bad-omen","https://www.e-chords.com/t/f68.gif"
"Daisy Fala Comigo","https://www.cifras.com.br/daisy-fala-comigo","https://www.e-chords.com/t/f1.gif"
"Dale Watson","https://www.cifras.com.br/dale-watson","https://www.e-chords.com/t/f10.gif"
"Dallas Davidson","https://www.cifras.com.br/dallas-davidson","https://www.e-chords.com/t/f68.gif"
"A Barca","https://www.cifras.com.br/a-barca","https://www.e-chords.com/t/f1.gif"
"A Colina","https://www.cifras.com.br/a-colina","https://www.e-chords.com/t/f1.gif"
"Bad Books","https://www.cifras.com.br/bad-books","https://www.e-chords.com/t/f10.gif"
"Bad Boys Blue","https://www.cifras.com.br/bad-boys-blue","https://www.e-chords.com/t/f68.gif"
"Bad Suns","https://www.cifras.com.br/bad-suns","https://www.e-chords.com/t/f68.gif"
"Badiel & Skinner","https://www.cifras.com.br/badiel-skinner","https://www.e-chords.com/t/f10.gif"
"Dakota Bradley","https://www.cifras.com.br/dakota-bradley","https://www.e-chords.com/t/f68.gif"
"A cause des garçons","https://www.cifras.com.br/a-cause-des-garcons","https://www.e-chords.com/t/f5.gif"
"Backstreet Boys","https://www.cifras.com.br/backstreet-boys","https://www.e-chords.com/t/f10.gif"
"Bad Examples","https://www.cifras.com.br/bad-examples","https://www.e-chords.com/t/f68.gif"
"Badloves","https://www.cifras.com.br/badloves","https://www.e-chords.com/t/f68.gif"
"Dallas Green","https://www.cifras.com.br/dallas-green","https://www.e-chords.com/t/f10.gif"
"A Camp","https://www.cifras.com.br/a-camp","https://www.e-chords.com/t/f68.gif"
"A Caravana Do Delirio","https://www.cifras.com.br/a-caravana-do-delirio","https://www.e-chords.com/t/f1.gif"
"A Casa da Cidade","https://www.cifras.com.br/a-casa-da-cidade","https://www.e-chords.com/t/f1.gif"
"A Curva da Cintura","https://www.cifras.com.br/a-curva-da-cintura","https://www.e-chords.com/t/f1.gif"
"Bad Finger","https://www.cifras.com.br/bad-finger","https://www.e-chords.com/t/f10.gif"
"Bad Seed Rising","https://www.cifras.com.br/bad-seed-rising","https://www.e-chords.com/t/f68.gif"
"Badakauana","https://www.cifras.com.br/badakauana","https://www.e-chords.com/t/f1.gif"
"Badaró Jambrass","https://www.cifras.com.br/badaro-jambrass","https://www.e-chords.com/t/f1.gif"
"Dall","https://www.cifras.com.br/dall","https://www.e-chords.com/t/f1.gif"
"A Beautiful Tragedy","https://www.cifras.com.br/a-beautiful-tragedy","https://www.e-chords.com/t/f10.gif"
"Backyard Babies","https://www.cifras.com.br/backyard-babies","https://www.e-chords.com/t/f15.gif"
"Bad Brains","https://www.cifras.com.br/bad-brains","https://www.e-chords.com/t/f10.gif"
"Badabauê","https://www.cifras.com.br/badabaue","https://www.e-chords.com/t/f1.gif"
"Baekhyun","https://www.cifras.com.br/baekhyun","https://www.e-chords.com/t/f68.gif"
"Daiyan Trisha","https://www.cifras.com.br/daiyan-trisha","https://www.e-chords.com/t/f68.gif"
"Dakota Motor Company","https://www.cifras.com.br/dakota-motor-company","https://www.e-chords.com/t/f10.gif"
"Bad Copy","https://www.cifras.com.br/bad-copy","https://www.e-chords.com/t/f25.gif"
"Bad Wolves","https://www.cifras.com.br/bad-wolves","https://www.e-chords.com/t/f68.gif"
"Baden Powell","https://www.cifras.com.br/baden-powell","https://www.e-chords.com/t/f1.gif"
"Daisy x Daisy","https://www.cifras.com.br/daisy-x-daisy","https://www.e-chords.com/t/f68.gif"
"A Caminho da Luz","https://www.cifras.com.br/a-caminho-da-luz","https://www.e-chords.com/t/f1.gif"
"Backjumper","https://www.cifras.com.br/backjumper","https://www.e-chords.com/t/f68.gif"
