,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
109,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",845102,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
110,"(não) era amor","GIULIA BE",844685,https://open.spotify.com/track/7DmZMqXYgQ1oI3z3bGUEbi
111,"Se Eu Fosse Você - Ao Vivo","Henrique & Juliano",835304,https://open.spotify.com/track/3HXLUh9lzSrSLvrvLk2LjC
112,"Meu Abrigo",Melim,835228,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
113,"Lovesick Girls",BLACKPINK,834322,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
114,Pupila,ANAVITÓRIA,829338,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
115,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",820036,https://open.spotify.com/track/6TL6UYmqRVC5PuVQb0R1h5
116,"Someone You Loved","Lewis Capaldi",816533,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
117,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,814434,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
118,"O Matuto Se Apaixonou","Os Barões Da Pisadinha",809349,https://open.spotify.com/track/09KUam5nfzNEXSSV9zWiT9
119,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",808224,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
120,"Agora Eu Pego Mesmo","Os Barões Da Pisadinha",796748,https://open.spotify.com/track/6OsMu5ntYteQzcCrZVWA33
121,"Relógio Parado (Ao Vivo)","Diego & Arnaldo",784086,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
122,Hb20,Tierry,783395,https://open.spotify.com/track/4cjowWOdLUKomiRwhWpRXJ
123,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",783339,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
124,Reincidente,"Felipe Araújo",779760,https://open.spotify.com/track/3XG1frltSxibGuYLPucxl8
125,"Áudio - Ao Vivo em Brasília","Diego & Victor Hugo",777730,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
126,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",772419,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
