,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
143,"Gonzaga Deu Fuga Com Uma Loira Cabulosa Em Cima Da 66","Dj Wesley Gonzaga",786719,https://open.spotify.com/track/6mUNR2pJOxKRCVo97YVlHE
144,"Eu Rebolo Sim","Mc Branquinha",785873,https://open.spotify.com/track/1HSsux9a3sbuIRPb5xFEwb
145,"Localiza Aí Bebê - Ao Vivo","João Bosco e Gabriel",785818,https://open.spotify.com/track/7sCdzif8vD8XN1jgdYFL1q
146,"Heartbreak Anniversary",Giveon,780524,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
147,"Ilusão (Cracolândia)","MC Hariel",779263,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
148,Alívio,"Jessé Aguiar",778061,https://open.spotify.com/track/40KZgKCIvRVIoZqv9lNBoP
149,"Amarelo, azul e branco",ANAVITÓRIA,770470,https://open.spotify.com/track/2LOIoeI16A8jjKubPKoCSa
150,"Alive (It Feels Like)",Alok,765455,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
151,"Meu Mel","Zé Vaqueiro",759309,https://open.spotify.com/track/1w5GF97jRe8bnNKcBPYPyf
152,"Paty Trem Barbie","MC Magrella",757557,https://open.spotify.com/track/3woa0ekqNnhx4etwchLZDk
153,"Hold On","Justin Bieber",756197,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
154,"Despedida De Casal","Gustavo Mioto",744944,https://open.spotify.com/track/0V4ZIBLOxq85pFQATKtItp
155,"Errada Ela Não Tá","MC JottaPê",733991,https://open.spotify.com/track/5LOgoGZQf26eY74DGdYy0u
156,Deprê,"Marília Mendonça",730496,https://open.spotify.com/track/2BRGOqLBHFJclDM6PB2dnd
157,"Vai Rebola Trava VS To Doidinho pra ver o seu Piercing no peito","Otavio Beats",725136,https://open.spotify.com/track/13N5qGcFD3uRuY02Wwdu4Q
158,"Someone You Loved","Lewis Capaldi",721040,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
159,Paypal,Teto,720584,https://open.spotify.com/track/6x1FttETfbRLerumlTn0ZH
160,"Poesia Acústica 10: Recomeçar","Pineapple StormTv",716393,https://open.spotify.com/track/4pwFy4YPNGMxK2P2FfQfvt
161,Lobo,Orochi,711712,https://open.spotify.com/track/4W7Y0EsaVPh87WKC1etOHA
162,Cangote,"Zé Vaqueiro",707126,https://open.spotify.com/track/4sNVJ7S1hwZycKkCZY9gVx
163,Dynamite,BTS,706986,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
164,"Me Ame Mais","Jorge & Mateus",704725,https://open.spotify.com/track/4iavXH4dDUMA8yAabnUhSI
165,Nêga,"Tarcísio do Acordeon",702836,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
166,"Manda Áudio","Di Propósito",702704,https://open.spotify.com/track/0in6Rc29qdyOkhKyYw4A84
167,"Sofa, Breja e Netflix","Mac Júlia",700950,https://open.spotify.com/track/6eIZaT9qNz9lVrhWbJOWls
168,"Desejando Eu (Ao Vivo)","Murilo Huff",692500,https://open.spotify.com/track/3056x1XkmICnQmji68rrft
169,"Ela Aperta a Minha Mente","Xand Avião",687150,https://open.spotify.com/track/1T3hcBQRwacjWLuJJFt8co
170,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",684548,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
171,"Tipo Gringa","DJ Matt D",681960,https://open.spotify.com/track/3oxk3UVbKJiPcPokw9h64D
172,"Ama Sofre Chora","Pabllo Vittar",679983,https://open.spotify.com/track/1iBMex2uCm0T0y70zsJklT
173,"Sogra - Ao Vivo",Dilsinho,673408,https://open.spotify.com/track/4zsiMjB0794HztyqUkD3Zi
174,"Coração Gelado 2","DJ BOY",665705,https://open.spotify.com/track/770dThFIyI1l6ovcxxeUW2
175,"AK47 É o Porte do Homem","MC Torugo",656500,https://open.spotify.com/track/5HdghQzJVbvkZuMyvj2k34
176,"Build a Bitch","Bella Poarch",651656,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
177,"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre",648692,https://open.spotify.com/track/5PNvgiKSwMdjBsDsgFCFLX
178,"Meu Sonho","Tarcísio do Acordeon",647493,https://open.spotify.com/track/0T4xOQeKlZ1s6YdD6UIZp8
179,"enough for you","Olivia Rodrigo",643843,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
180,"Pode Sumir","Luíza & Maurílio",641718,https://open.spotify.com/track/7CDdyDigw7e3zFr3k7uKMY
181,"GIRL LIKE ME","Black Eyed Peas",639486,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
182,"Paradise (feat. Dermot Kennedy)",MEDUZA,639315,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
183,"Roses - Imanbek Remix","SAINt JHN",638043,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
184,"Coração Traumatizou - Ao Vivo","Israel & Rodolffo",635680,https://open.spotify.com/track/1c5uZE4rMQ09O4bIJvlHwK
185,telepatía,"Kali Uchis",630036,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
